route_id;order_id;truck_id;client_id;city_loading;city_unloading;datetime_loading_start_plan_order;datetime_loading_end_plan_order;datetime_unloading_start_plan_order;datetime_unloading_end_plan_order;datetime_loading_arrival_fact;datetime_loading_start_fact;datetime_loading_end_fact;datetime_loading_departure_fact;datetime_unloading_arrival_fact;datetime_unloading_start_fact;datetime_unloading_end_fact;datetime_unloading_departure_fact
89119;197867;к798рр 750;23;Москва;Москва;28.05.2019 13:00;28.05.2019 15:00;28.05.2019 16:00;28.05.2019 18:00;28.05.2019 13:00;28.05.2019 13:00;28.05.2019 15:00;28.05.2019 15:00;28.05.2019 16:00;28.05.2019 16:00;28.05.2019 18:00;28.05.2019 18:00
89117;199081;в494са 750;19;Ногинск;Самара;29.05.2019 15:00;29.05.2019 19:00;31.05.2019 16:00;31.05.2019 18:00;29.05.2019 15:00;29.05.2019 19:38;29.05.2019 20:55;29.05.2019 20:55;31.05.2019 11:20;31.05.2019 11:20;31.05.2019 12:30;31.05.2019 12:30
89105;199394;о085ск 750;15;Москва;Москва;31.05.2019 04:24;31.05.2019 05:38;31.05.2019 09:00;31.05.2019 10:14;30.05.2019 20:50;30.05.2019 20:50;31.05.2019 05:00;31.05.2019 05:00;31.05.2019 07:58;31.05.2019 08:40;31.05.2019 10:43;31.05.2019 10:43
88984;198718;в571са 750;59;Чехов;Санкт-Петербург;30.05.2019 05:00;30.05.2019 07:00;31.05.2019 02:00;31.05.2019 04:00;30.05.2019 01:25;30.05.2019 05:30;30.05.2019 06:00;30.05.2019 06:15;31.05.2019 00:00;31.05.2019 00:10;31.05.2019 01:20;31.05.2019 01:20
88943;197082;у519св 750;37;Тула;Москва;25.05.2019 18:00;25.05.2019 22:00;26.05.2019 02:00;26.05.2019 04:00;25.05.2019 15:12;25.05.2019 15:12;25.05.2019 17:37;25.05.2019 17:37;26.05.2019 01:30;26.05.2019 01:30;26.05.2019 04:00;26.05.2019 04:00
88943;197611;у519св 750;7;Москва;Санкт-Петербург;26.05.2019 23:00;27.05.2019 02:00;27.05.2019 16:00;27.05.2019 18:00;26.05.2019 15:37;26.05.2019 15:37;27.05.2019 03:05;27.05.2019 03:05;27.05.2019 14:30;27.05.2019 14:30;27.05.2019 18:00;27.05.2019 18:00
88940;198022;у019св 750;30;Санкт-Петербург;Тула;28.05.2019 16:00;28.05.2019 21:00;30.05.2019 09:00;30.05.2019 14:00;28.05.2019 14:30;28.05.2019 14:30;28.05.2019 19:12;28.05.2019 19:12;30.05.2019 04:40;30.05.2019 04:40;30.05.2019 08:10;30.05.2019 08:10
88937;198062;о001ск 750;0;Самара;Тольятти;28.05.2019 23:59;29.05.2019 01:59;29.05.2019 08:30;29.05.2019 10:30;28.05.2019 19:20;28.05.2019 20:00;28.05.2019 22:00;28.05.2019 22:00;29.05.2019 03:00;29.05.2019 03:00;29.05.2019 04:00;29.05.2019 04:00
88934;197609;в551са 750;18;Санкт-Петербург;Ульяновск;27.05.2019 13:00;27.05.2019 15:00;30.05.2019 17:00;30.05.2019 19:00;27.05.2019 10:00;27.05.2019 10:00;27.05.2019 13:00;27.05.2019 13:00;30.05.2019 09:30;30.05.2019 09:30;30.05.2019 22:36;30.05.2019 22:36
88933;199395;у451св 750;15;Москва;Москва;31.05.2019 04:24;31.05.2019 05:38;31.05.2019 09:00;31.05.2019 10:14;30.05.2019 19:30;30.05.2019 19:30;31.05.2019 06:30;31.05.2019 06:30;31.05.2019 08:30;31.05.2019 08:30;31.05.2019 10:47;31.05.2019 10:47
88925;198443;к775рр 750;19;Ногинск;Пермь;27.05.2019 16:00;27.05.2019 20:00;30.05.2019 09:00;30.05.2019 13:00;27.05.2019 13:50;27.05.2019 13:50;27.05.2019 23:30;27.05.2019 23:30;30.05.2019 05:00;30.05.2019 05:00;30.05.2019 08:35;30.05.2019 08:35
88922;197370;к726рр 750;23;Санкт-Петербург;Чехов;26.05.2019 15:00;26.05.2019 17:00;28.05.2019 06:00;28.05.2019 09:00;26.05.2019 10:00;26.05.2019 10:00;26.05.2019 16:59;26.05.2019 16:59;27.05.2019 16:05;27.05.2019 16:05;28.05.2019 09:00;28.05.2019 09:00
88921;199343;о030ск 750;15;Москва;Москва;31.05.2019 05:36;31.05.2019 08:36;31.05.2019 09:00;31.05.2019 11:00;31.05.2019 03:30;31.05.2019 03:30;31.05.2019 05:23;31.05.2019 05:23;31.05.2019 06:20;31.05.2019 06:20;31.05.2019 10:00;31.05.2019 10:00
88921;199539;о030ск 750;15;Москва;Москва;31.05.2019 11:00;31.05.2019 13:00;31.05.2019 13:24;31.05.2019 16:24;31.05.2019 06:20;31.05.2019 06:20;31.05.2019 10:00;31.05.2019 10:00;31.05.2019 13:10;31.05.2019 13:10;31.05.2019 15:50;31.05.2019 15:50
88918;199344;в523са 750;15;Москва;Москва;31.05.2019 05:36;31.05.2019 08:36;31.05.2019 09:00;31.05.2019 11:00;31.05.2019 03:20;31.05.2019 03:20;31.05.2019 06:10;31.05.2019 06:10;31.05.2019 06:25;31.05.2019 06:25;31.05.2019 11:50;31.05.2019 11:50
88918;199582;в523са 750;15;Москва;Москва;31.05.2019 11:00;31.05.2019 14:00;31.05.2019 14:24;31.05.2019 17:24;31.05.2019 06:25;31.05.2019 06:25;31.05.2019 11:50;31.05.2019 11:50;31.05.2019 14:24;31.05.2019 14:24;31.05.2019 15:24;31.05.2019 15:24
88917;199336;о033ск 750;15;Москва;Москва;30.05.2019 21:00;31.05.2019 00:00;31.05.2019 03:00;31.05.2019 06:00;30.05.2019 20:02;30.05.2019 20:02;30.05.2019 23:23;30.05.2019 23:23;31.05.2019 02:12;31.05.2019 07:37;31.05.2019 11:57;31.05.2019 11:57
88733;198929;с023св 750;15;Москва;Москва;30.05.2019 12:16;30.05.2019 15:16;30.05.2019 17:40;30.05.2019 19:40;30.05.2019 07:40;30.05.2019 07:40;30.05.2019 10:52;30.05.2019 10:52;30.05.2019 14:01;30.05.2019 14:01;30.05.2019 19:40;30.05.2019 19:40
88733;199388;с023св 750;15;Москва;Москва;31.05.2019 04:42;31.05.2019 05:56;31.05.2019 09:00;31.05.2019 10:14;30.05.2019 23:26;30.05.2019 23:26;31.05.2019 04:32;31.05.2019 04:32;31.05.2019 06:00;31.05.2019 07:35;31.05.2019 15:20;31.05.2019 15:20
88720;197773;у564св 750;0;Самара;Тольятти;27.05.2019 21:30;27.05.2019 23:30;28.05.2019 06:00;28.05.2019 08:00;27.05.2019 14:20;27.05.2019 14:20;27.05.2019 23:12;27.05.2019 23:12;28.05.2019 03:20;28.05.2019 03:20;28.05.2019 05:31;28.05.2019 05:31
88719;198512;в552са 750;15;Москва;Москва;29.05.2019 02:00;29.05.2019 03:14;29.05.2019 06:34;29.05.2019 07:48;28.05.2019 21:56;28.05.2019 21:56;29.05.2019 04:27;29.05.2019 04:27;29.05.2019 06:11;29.05.2019 06:11;29.05.2019 10:55;29.05.2019 10:55
88719;199073;в552са 750;19;Ногинск;Смоленск;29.05.2019 14:00;29.05.2019 18:00;31.05.2019 09:00;31.05.2019 13:00;29.05.2019 12:21;29.05.2019 17:53;29.05.2019 20:16;29.05.2019 20:32;30.05.2019 14:41;30.05.2019 14:41;30.05.2019 15:32;30.05.2019 15:32
88716;197298;к719рр 750;56;Санкт-Петербург;Москва;26.05.2019 09:30;26.05.2019 11:48;27.05.2019 11:00;27.05.2019 13:00;26.05.2019 09:30;26.05.2019 09:30;26.05.2019 10:30;26.05.2019 10:30;27.05.2019 01:31;27.05.2019 01:31;27.05.2019 09:23;27.05.2019 09:23
88710;197317;к644рр 750;56;Санкт-Петербург;Москва;26.05.2019 13:00;26.05.2019 13:18;27.05.2019 12:00;27.05.2019 14:00;26.05.2019 12:50;26.05.2019 13:30;26.05.2019 14:30;26.05.2019 14:30;27.05.2019 04:00;27.05.2019 04:00;27.05.2019 08:00;27.05.2019 08:00
88709;198075;у563св 750;15;Москва;Москва;28.05.2019 04:12;28.05.2019 07:12;28.05.2019 09:00;28.05.2019 11:00;27.05.2019 20:06;27.05.2019 20:06;28.05.2019 03:22;28.05.2019 03:22;28.05.2019 04:19;28.05.2019 04:19;28.05.2019 15:13;28.05.2019 15:13
88709;198488;у563св 750;15;Москва;Москва;29.05.2019 03:18;29.05.2019 06:18;29.05.2019 09:00;29.05.2019 11:00;28.05.2019 22:00;28.05.2019 22:00;29.05.2019 00:35;29.05.2019 00:35;29.05.2019 03:15;29.05.2019 03:15;29.05.2019 12:44;29.05.2019 12:44
88709;198950;у563св 750;15;Москва;Москва;30.05.2019 04:54;30.05.2019 06:08;30.05.2019 09:00;30.05.2019 10:14;29.05.2019 15:26;30.05.2019 00:08;30.05.2019 01:52;30.05.2019 01:52;30.05.2019 03:38;30.05.2019 03:38;30.05.2019 05:36;30.05.2019 11:26
88705;197359;у531св 750;37;Брянск;Москва;26.05.2019 18:00;26.05.2019 21:00;27.05.2019 09:00;27.05.2019 13:00;26.05.2019 15:50;26.05.2019 15:50;26.05.2019 16:46;26.05.2019 16:46;27.05.2019 06:11;27.05.2019 06:11;27.05.2019 14:22;27.05.2019 14:22
88704;198074;с023св 750;15;Москва;Москва;28.05.2019 06:00;28.05.2019 09:00;28.05.2019 12:00;28.05.2019 14:00;27.05.2019 23:06;27.05.2019 23:06;28.05.2019 03:17;28.05.2019 03:17;28.05.2019 04:36;28.05.2019 04:36;29.05.2019 04:42;29.05.2019 04:42
88704;198499;с023св 750;15;Москва;Москва;29.05.2019 04:12;29.05.2019 07:12;29.05.2019 09:00;29.05.2019 11:00;29.05.2019 07:58;29.05.2019 07:58;29.05.2019 09:31;29.05.2019 09:31;29.05.2019 11:09;29.05.2019 11:09;29.05.2019 16:42;29.05.2019 16:42
88582;197367;в365са 750;18;Санкт-Петербург;Москва;26.05.2019 10:00;26.05.2019 12:00;27.05.2019 12:00;27.05.2019 14:00;26.05.2019 06:56;26.05.2019 06:56;26.05.2019 08:54;26.05.2019 08:54;26.05.2019 22:28;26.05.2019 22:28;27.05.2019 17:55;27.05.2019 17:55
88518;198316;в461са 750;37;Брянск;Москва;29.05.2019 18:00;29.05.2019 21:00;30.05.2019 09:00;30.05.2019 13:00;29.05.2019 14:00;29.05.2019 15:00;29.05.2019 18:00;29.05.2019 18:29;30.05.2019 07:00;30.05.2019 07:00;30.05.2019 12:05;30.05.2019 14:02
88518;198327;в461са 750;19;Ногинск;Смоленск;27.05.2019 20:00;28.05.2019 00:00;28.05.2019 16:00;28.05.2019 17:00;27.05.2019 18:00;27.05.2019 18:00;28.05.2019 00:45;28.05.2019 00:45;28.05.2019 14:30;28.05.2019 14:30;28.05.2019 15:20;28.05.2019 15:20
88518;198924;в461са 750;15;Москва;Москва;30.05.2019 17:42;30.05.2019 20:42;30.05.2019 23:00;31.05.2019 01:00;30.05.2019 15:43;30.05.2019 15:43;30.05.2019 18:18;30.05.2019 18:18;30.05.2019 23:00;30.05.2019 23:00;31.05.2019 04:40;31.05.2019 04:40
88515;197040;о057ск 750;18;Ростов на Дону;Москва;25.05.2019 11:00;25.05.2019 11:00;27.05.2019 22:00;27.05.2019 22:00;25.05.2019 11:00;25.05.2019 11:00;25.05.2019 11:00;25.05.2019 11:00;26.05.2019 18:51;26.05.2019 18:51;27.05.2019 17:55;27.05.2019 17:55
88514;197622;в574са 750;7;Москва;Санкт-Петербург;27.05.2019 23:00;28.05.2019 02:00;28.05.2019 16:00;28.05.2019 18:00;27.05.2019 16:30;27.05.2019 16:30;28.05.2019 03:09;28.05.2019 03:09;28.05.2019 13:20;28.05.2019 13:20;28.05.2019 15:00;28.05.2019 15:00
88514;198036;в574са 750;18;Санкт-Петербург;Ульяновск;28.05.2019 20:00;28.05.2019 22:00;01.06.2019 01:00;01.06.2019 03:00;28.05.2019 18:49;28.05.2019 18:49;28.05.2019 20:15;28.05.2019 20:15;30.05.2019 15:00;30.05.2019 15:00;30.05.2019 19:00;30.05.2019 19:00
88509;198067;в523са 750;15;Москва;Москва;28.05.2019 00:18;28.05.2019 03:18;28.05.2019 05:00;28.05.2019 07:00;27.05.2019 15:05;27.05.2019 15:05;27.05.2019 18:23;27.05.2019 18:23;27.05.2019 23:56;28.05.2019 09:00;28.05.2019 12:00;28.05.2019 12:00
88509;198501;в523са 750;15;Москва;Москва;29.05.2019 04:54;29.05.2019 06:08;29.05.2019 09:00;29.05.2019 10:14;28.05.2019 14:00;28.05.2019 22:00;29.05.2019 00:16;29.05.2019 00:16;29.05.2019 01:45;29.05.2019 11:00;29.05.2019 17:20;29.05.2019 17:20
88509;198582;в523са 750;15;Москва;Москва;28.05.2019 07:00;28.05.2019 09:00;28.05.2019 11:00;28.05.2019 14:00;27.05.2019 23:56;28.05.2019 09:00;28.05.2019 12:00;28.05.2019 12:00;28.05.2019 14:00;28.05.2019 14:00;28.05.2019 15:20;28.05.2019 15:20
88509;198838;в523са 750;15;Москва;Москва;29.05.2019 16:00;29.05.2019 17:14;29.05.2019 20:06;29.05.2019 23:06;29.05.2019 01:45;29.05.2019 11:00;29.05.2019 17:20;29.05.2019 17:20;29.05.2019 20:57;29.05.2019 20:57;30.05.2019 03:00;30.05.2019 03:00
88504;197041;к712рр 750;5;Санкт-Петербург;Москва;25.05.2019 16:00;25.05.2019 18:00;26.05.2019 13:00;26.05.2019 15:00;25.05.2019 09:46;25.05.2019 09:46;25.05.2019 13:20;25.05.2019 13:20;26.05.2019 01:00;26.05.2019 09:00;26.05.2019 10:36;26.05.2019 10:36
88495;197231;в487са 750;19;Ногинск;Пенза;24.05.2019 20:00;25.05.2019 00:00;26.05.2019 09:00;26.05.2019 11:00;24.05.2019 20:00;25.05.2019 03:00;25.05.2019 07:15;25.05.2019 07:15;25.05.2019 22:05;26.05.2019 07:45;26.05.2019 08:55;26.05.2019 08:55
88466;198576;о016ск 750;15;Москва;Москва;29.05.2019 04:54;29.05.2019 07:54;29.05.2019 09:00;29.05.2019 11:00;28.05.2019 21:20;28.05.2019 21:20;29.05.2019 01:05;29.05.2019 01:05;29.05.2019 02:20;29.05.2019 02:20;29.05.2019 15:40;29.05.2019 15:40
88466;198946;о016ск 750;15;Москва;Москва;30.05.2019 03:54;30.05.2019 05:08;30.05.2019 08:00;30.05.2019 09:14;29.05.2019 17:24;29.05.2019 19:08;29.05.2019 21:00;29.05.2019 21:00;29.05.2019 23:00;29.05.2019 23:00;30.05.2019 01:30;30.05.2019 01:30
88465;198493;о042ск 750;15;Москва;Москва;29.05.2019 05:36;29.05.2019 08:36;29.05.2019 09:00;29.05.2019 11:00;28.05.2019 21:54;28.05.2019 21:54;29.05.2019 01:22;29.05.2019 01:22;29.05.2019 05:45;29.05.2019 05:45;29.05.2019 08:30;29.05.2019 08:30
88465;198682;о042ск 750;15;Москва;Москва;29.05.2019 11:00;29.05.2019 13:00;29.05.2019 13:24;29.05.2019 16:24;29.05.2019 05:45;29.05.2019 05:45;29.05.2019 08:30;29.05.2019 08:30;29.05.2019 08:54;29.05.2019 08:54;29.05.2019 11:00;29.05.2019 11:00
88465;198914;о042ск 750;15;Москва;Москва;29.05.2019 21:00;30.05.2019 00:00;30.05.2019 03:00;30.05.2019 05:00;29.05.2019 19:12;29.05.2019 19:12;29.05.2019 22:22;29.05.2019 22:22;29.05.2019 23:49;29.05.2019 23:49;30.05.2019 08:55;30.05.2019 08:55
88465;199338;о042ск 750;15;Москва;Москва;31.05.2019 00:18;31.05.2019 03:18;31.05.2019 05:00;31.05.2019 07:00;30.05.2019 10:23;30.05.2019 10:23;30.05.2019 22:14;30.05.2019 22:14;31.05.2019 04:02;31.05.2019 04:02;31.05.2019 12:46;31.05.2019 12:46
88463;198928;в538са 750;15;Москва;Москва;30.05.2019 10:26;30.05.2019 13:26;30.05.2019 15:50;30.05.2019 17:50;30.05.2019 07:37;30.05.2019 07:37;30.05.2019 10:00;30.05.2019 10:00;30.05.2019 14:46;30.05.2019 14:46;30.05.2019 20:39;30.05.2019 20:39
88463;199383;в538са 750;20;Владимир;Москва;31.05.2019 11:00;31.05.2019 14:00;31.05.2019 22:00;01.06.2019 01:00;31.05.2019 08:30;31.05.2019 08:30;31.05.2019 17:30;31.05.2019 17:30;31.05.2019 22:37;31.05.2019 22:37;31.05.2019 23:40;31.05.2019 23:40
88456;198485;в482са 750;15;Москва;Москва;28.05.2019 23:42;29.05.2019 02:42;29.05.2019 06:00;29.05.2019 08:00;28.05.2019 23:10;28.05.2019 23:10;29.05.2019 03:30;29.05.2019 03:30;29.05.2019 05:10;29.05.2019 14:56;29.05.2019 19:05;29.05.2019 19:05
88433;198498;о034ск 750;15;Москва;Москва;29.05.2019 04:12;29.05.2019 07:12;29.05.2019 09:00;29.05.2019 11:00;29.05.2019 01:24;29.05.2019 01:24;29.05.2019 04:24;29.05.2019 04:24;29.05.2019 05:21;29.05.2019 05:21;29.05.2019 18:17;29.05.2019 18:17
88433;198948;о034ск 750;15;Москва;Москва;30.05.2019 03:54;30.05.2019 05:08;30.05.2019 08:00;30.05.2019 09:14;29.05.2019 20:07;29.05.2019 23:58;30.05.2019 02:15;30.05.2019 02:15;30.05.2019 04:14;30.05.2019 04:14;30.05.2019 06:31;30.05.2019 06:31
88430;198497;в529са 750;15;Москва;Москва;29.05.2019 05:06;29.05.2019 08:06;29.05.2019 10:30;29.05.2019 12:30;29.05.2019 05:06;29.05.2019 07:14;29.05.2019 08:13;29.05.2019 08:13;29.05.2019 10:30;29.05.2019 10:30;29.05.2019 14:10;29.05.2019 14:10
88430;198919;в529са 750;15;Москва;Москва;30.05.2019 00:18;30.05.2019 03:18;30.05.2019 05:00;30.05.2019 07:00;29.05.2019 19:00;29.05.2019 19:00;29.05.2019 21:00;29.05.2019 21:00;29.05.2019 22:22;30.05.2019 08:30;30.05.2019 11:47;30.05.2019 11:47
88430;199171;в529са 750;15;Москва;Москва;30.05.2019 07:00;30.05.2019 08:14;30.05.2019 11:00;30.05.2019 14:00;29.05.2019 22:22;30.05.2019 08:30;30.05.2019 11:47;30.05.2019 11:47;30.05.2019 13:39;30.05.2019 13:39;30.05.2019 20:01;30.05.2019 20:01
88430;199335;в529са 750;15;Москва;Москва;30.05.2019 20:00;30.05.2019 23:00;31.05.2019 02:00;31.05.2019 04:00;30.05.2019 13:39;30.05.2019 13:39;30.05.2019 20:01;30.05.2019 20:01;31.05.2019 00:00;31.05.2019 00:00;31.05.2019 07:45;31.05.2019 07:45
88422;198580;у533св 750;15;Москва;Москва;29.05.2019 06:18;29.05.2019 07:32;29.05.2019 08:00;29.05.2019 09:14;29.05.2019 01:20;29.05.2019 01:20;29.05.2019 04:19;29.05.2019 04:19;29.05.2019 08:00;29.05.2019 08:00;29.05.2019 14:13;29.05.2019 14:13
88422;198927;у533св 750;15;Москва;Москва;30.05.2019 15:41;30.05.2019 18:41;30.05.2019 21:05;30.05.2019 23:05;29.05.2019 20:46;30.05.2019 13:26;30.05.2019 14:43;30.05.2019 14:43;30.05.2019 18:10;30.05.2019 18:10;31.05.2019 06:55;31.05.2019 08:34
88417;198513;с663св 750;15;Москва;Москва;29.05.2019 15:00;29.05.2019 16:14;29.05.2019 19:30;29.05.2019 20:44;29.05.2019 15:00;29.05.2019 15:00;29.05.2019 18:12;29.05.2019 18:12;29.05.2019 22:59;29.05.2019 22:59;30.05.2019 01:33;30.05.2019 01:33
88417;199005;с663св 750;20;Владимир;Москва;30.05.2019 11:00;30.05.2019 14:00;30.05.2019 21:00;31.05.2019 00:00;30.05.2019 03:29;30.05.2019 09:36;30.05.2019 10:46;30.05.2019 10:46;30.05.2019 15:45;30.05.2019 21:00;31.05.2019 00:00;31.05.2019 00:00
88384;197736;в532са 750;15;Москва;Москва;27.05.2019 00:18;27.05.2019 03:18;27.05.2019 05:00;27.05.2019 07:00;26.05.2019 18:20;26.05.2019 18:38;26.05.2019 20:20;26.05.2019 20:50;26.05.2019 22:02;26.05.2019 22:02;27.05.2019 09:15;27.05.2019 09:15
88384;198086;в532са 750;15;Москва;Москва;28.05.2019 07:54;28.05.2019 09:08;28.05.2019 12:00;28.05.2019 13:14;28.05.2019 04:23;28.05.2019 04:23;28.05.2019 06:42;28.05.2019 06:42;28.05.2019 08:46;28.05.2019 08:46;28.05.2019 16:12;28.05.2019 16:12
88384;198093;в532са 750;15;Москва;Москва;27.05.2019 07:00;27.05.2019 10:00;27.05.2019 12:00;27.05.2019 15:00;26.05.2019 22:02;26.05.2019 22:02;27.05.2019 09:15;27.05.2019 09:15;27.05.2019 12:00;27.05.2019 12:00;27.05.2019 16:24;27.05.2019 16:24
88384;198481;в532са 750;15;Москва;Москва;28.05.2019 22:48;29.05.2019 01:48;29.05.2019 05:00;29.05.2019 07:00;28.05.2019 21:10;28.05.2019 21:10;28.05.2019 23:15;28.05.2019 23:15;29.05.2019 01:22;29.05.2019 10:01;29.05.2019 11:30;29.05.2019 13:00
88384;198748;в532са 750;15;Москва;Москва;29.05.2019 07:00;29.05.2019 08:14;29.05.2019 11:00;29.05.2019 14:00;29.05.2019 01:22;29.05.2019 10:01;29.05.2019 11:30;29.05.2019 13:00;29.05.2019 14:40;29.05.2019 14:40;29.05.2019 16:00;29.05.2019 16:00
88384;198754;в532са 750;18;Москва;Санкт-Петербург;30.05.2019 14:00;30.05.2019 16:00;31.05.2019 14:00;31.05.2019 17:00;30.05.2019 11:10;30.05.2019 11:10;30.05.2019 13:40;30.05.2019 13:40;31.05.2019 14:00;31.05.2019 14:30;31.05.2019 18:20;31.05.2019 18:20
88384;198912;в532са 750;15;Москва;Москва;29.05.2019 21:00;30.05.2019 00:00;30.05.2019 03:00;30.05.2019 05:00;29.05.2019 16:00;29.05.2019 17:55;29.05.2019 23:03;29.05.2019 23:03;30.05.2019 00:55;30.05.2019 03:00;30.05.2019 09:15;30.05.2019 09:15
